台风编号,台风中文名称,year,场站距离_km_mean,场站距离_km_std,场站距离_km_min,场站距离_km_max,风速_mean,风速_std,风速_min,风速_max,气压_mean,气压_std,气压_min,气压_max,移动速度_mean,移动速度_std,移动速度_min,移动速度_max,台风等级_mean,台风等级_std,台风等级_min,台风等级_max,hollandvg_mean,hollandvg_std,hollandvg_min,hollandvg_max,ym风速_mean,ym风速_std,ym风速_min,ym风速_max,rmax_mean,rmax_std,rmax_min,rmax_max,b_mean,b_std,b_min,b_max,n_samples
201905.0,丹娜丝,2019,1077.7594675378123,564.8289075578933,334.2206430311737,2008.0238005406736,18.66383701188455,3.112366656048978,15,23,992.6502546689304,3.7407720588319524,988,1000,22.564516128964346,6.959955191774887,9.0,35.0,7.964346349745331,0.7755358939264678,7,9,1.43435788285917,1.6341797232011899,0.0640652791371323,5.334815421244022,1.5872425198151237,1.7589804381776384,0.0923352340948798,5.664021707869809,40.7311834290155,12.710060299684818,27.108132903425822,68.56940472609847,1.204687898089983,0.06086733055588302,1.0591493,1.26697005,56544
201908.0,范斯高,2019,1982.605186956093,847.5843216888068,762.4264385446791,3394.920214102108,25.912240184757504,6.489484086916363,18,42,984.796766743649,11.067647486182066,955,998,28.405311778290994,3.516039042002717,18.0,37.0,9.868360277136258,1.6892037691461674,8,14,0.3303297670425146,0.3506647311470635,0.0234014721113737,1.1612374078425134,0.4476818346035857,0.4978754163116961,0.0294694847914555,1.6819046565459952,40.88398361367835,6.15994442684003,30.64357911813557,55.62988962533844,1.2586815768475752,0.08168288668456307,1.0806128000000002,1.482387625,41568
201909.0,利奇马,2019,748.8266699567764,444.727948296355,104.42907384017047,1620.1625024484351,36.4748427672956,15.16694279039934,16,62,959.2798742138365,26.36325291153044,915,990,15.185534591194969,6.521844172446404,2.0,30.0,12.180817610062894,3.536942566021818,7,18,4.221710339680284,5.7112815034615325,0.1263993071644051,31.57961266177052,5.218250055099533,5.117650117641198,0.3718440131493624,28.5018516601365,39.51004437969768,13.747962259362932,23.11639393569857,60.13110429449481,1.4695638627751573,0.26348100212486725,1.12954825,1.8924642000000005,61056
201913.0,玲玲,2019,1171.2094505473792,510.77127622564365,324.0830552613661,2255.7519997132563,34.666666666666664,13.388621581353004,15,55,967.218009478673,24.156022375241243,930,1002,26.133491311248022,16.383118652816936,7.0,65.0,11.800947867298579,3.0872050865063514,7,16,1.2193676912925806,1.9020612019785028,0.0383778390931368,7.663156115368949,2.3005507800398157,2.9963335274394787,0.0618601172609461,11.14904113978915,37.00264166080527,15.925068453411837,23.615649814675407,89.62102531620147,1.4262488904028436,0.20035272211954827,1.075315275,1.7576055000000002,60768
201917.0,塔巴,2019,994.8467788213098,300.3463340745971,531.7092127001472,1443.5929384652825,25.760095011876484,6.601162984364126,15,33,985.2589073634205,9.047464149174386,975,1000,24.324228028503562,15.580858402695105,6.0,65.0,9.902612826603326,1.805929201744903,7,12,0.9839718018158619,0.8450394163169037,0.1479924238831813,2.8314006555834013,1.3427881141990838,1.1402742687548078,0.1771000126407448,3.770857153983962,39.58016939790276,7.42982660498525,33.3168274273575,61.33018891889903,1.2636107989311165,0.06500930435374105,1.125161,1.36092645,40416
201918.0,米娜,2019,1027.241913655467,585.4480265195049,212.0793440486977,2210.360221696484,28.39009900990099,6.938578048415679,18,40,980.2554455445545,10.763640147407513,960,998,25.301980198019802,3.929068335757562,20.0,36.0,10.437623762376237,1.8132184590533516,8,13,2.291344054972907,2.916099231616423,0.0555991102103661,10.080624933578168,2.831636833964566,3.13101824552925,0.0912624951231688,10.61158817437141,38.31931436653029,11.085387016292747,25.4526692597078,61.57286005922951,1.315743037079208,0.11364367374130434,1.12428355,1.50280475,48480
202004.0,黑格比,2020,724.2150262564672,410.8308624863293,104.6160054855293,1477.8308235504028,23.401847575057737,6.990687897358703,15,38,989.6882217090069,11.038268424938051,965,1002,23.980369515011546,9.142693260850876,12.0,53.0,9.163972286374134,1.8219805905808537,7,13,3.6802184020068363,4.583957348644054,0.1134352285851463,18.95779674932202,4.0566038368104875,4.459313175383609,0.1368720768609558,18.13504092070656,41.46745555673129,8.883085195364409,31.63091230720229,62.13393891363703,1.217982737182448,0.10803591196847886,1.0560442,1.4394254,41568
202005.0,蔷薇,2020,1092.2137166678988,458.6083300045493,509.0112627174322,1835.6742163805293,19.448132780082986,3.2360205194156535,15,23,995.8630705394191,3.333843248383205,992,1000,48.07676348547718,4.459464516694366,44.0,59.0,8.103734439834025,0.800449337404012,7,9,0.6859263403705477,0.6073330852270542,0.0734223813841268,1.9217737367650292,0.7648181114240749,0.6536421366851582,0.1071642049149129,2.1490404825761047,39.013404380107964,9.683365719907963,27.17350180182782,60.20169090239721,1.1837871699170126,0.03911264580260022,1.0630638,1.2230295,23136
202006.0,米克拉,2020,1102.8720317321668,101.82347368754182,927.8434968179686,1283.8678593625,25.819444444444443,4.691721539138913,15,33,987.2361111111111,6.190702401067767,980,1002,28.77777777777778,4.310658632052373,25.0,35.0,10.069444444444445,1.2619944954687206,7,12,0.46334151626474984,0.08785541969967683,0.3117266038269548,0.6358812953744142,0.7114061802910088,0.16415108318932609,0.4624793706561564,1.0583954488374128,34.38022383867645,1.7907570314195382,31.790542344483207,38.23251761600535,1.2761726500000004,0.06007192221322591,1.1302896,1.33703235,6912
202008.0,巴威,2020,692.1932381285467,264.1250033411353,268.319920040271,1265.69821233969,32.84424778761062,9.497576163060314,15,45,973.1221238938053,16.961568755317604,950,1002,19.48230088495575,11.944431790774136,8.0,50.0,11.483185840707964,2.3123929164703823,7,14,3.03924481986716,3.199680793626891,0.1577613271277513,11.82987619061523,4.228989121085036,4.137821066681753,0.1881882224326122,14.566538194668214,41.767891836825854,8.690531569487348,32.646145708177414,75.00742135192894,1.346056205221239,0.12916462720380276,1.0640093,1.5251469,54240
